,月份,二手房均价,新房均价,城市
0,2022年03月,15958元/㎡,17314.0元/㎡,佛山
1,2022年02月,15807元/㎡,nan元/㎡,佛山
2,2022年01月,16378元/㎡,17063.0元/㎡,佛山
