,月份,二手房均价,新房均价,城市
0,2020年1月,15244元/㎡,19166元/㎡,海口
1,2020年2月,15426元/㎡,19189元/㎡,海口
2,2020年3月,15355元/㎡,19167元/㎡,海口
3,2020年4月,15079元/㎡,18412元/㎡,海口
4,2020年5月,14412元/㎡,18455元/㎡,海口
5,2020年6月,14246元/㎡,19283元/㎡,海口
6,2020年7月,15043元/㎡,18631元/㎡,海口
7,2020年8月,14815元/㎡,19169元/㎡,海口
8,2020年9月,14720元/㎡,19010元/㎡,海口
9,2020年10月,14558元/㎡,18739元/㎡,海口
10,2020年11月,14755元/㎡,19134元/㎡,海口
11,2020年12月,14559元/㎡,18624元/㎡,海口
