,月份,二手房均价,新房均价,城市
0,2022年03月,41963元/㎡,28396.0元/㎡,杭州
1,2022年02月,38560元/㎡,30007.0元/㎡,杭州
2,2022年01月,37782元/㎡,30900.0元/㎡,杭州
