,月份,二手房均价,新房均价,城市
0,2020年1月,13018元/㎡,15580元/㎡,佛山
1,2020年2月,13768元/㎡,15727元/㎡,佛山
2,2020年3月,13038元/㎡,15250元/㎡,佛山
3,2020年4月,12813元/㎡,15294元/㎡,佛山
4,2020年5月,12767元/㎡,14948元/㎡,佛山
5,2020年6月,13080元/㎡,15064元/㎡,佛山
6,2020年7月,13412元/㎡,14838元/㎡,佛山
7,2020年8月,12848元/㎡,15494元/㎡,佛山
8,2020年9月,13028元/㎡,14947元/㎡,佛山
9,2020年10月,13558元/㎡,15189元/㎡,佛山
10,2020年11月,14143元/㎡,15578元/㎡,佛山
11,2020年12月,13187元/㎡,15238元/㎡,佛山
