,月份,二手房均价,新房均价,城市
0,2020年1月,60910元/㎡,54915元/㎡,北京
1,2020年2月,67724元/㎡,54806元/㎡,北京
2,2020年3月,66548元/㎡,55466元/㎡,北京
3,2020年4月,65281元/㎡,56469元/㎡,北京
4,2020年5月,64182元/㎡,57019元/㎡,北京
5,2020年6月,61462元/㎡,57337元/㎡,北京
6,2020年7月,62212元/㎡,56778元/㎡,北京
7,2020年8月,61244元/㎡,56693元/㎡,北京
8,2020年9月,62711元/㎡,57327元/㎡,北京
9,2020年10月,61720元/㎡,55227元/㎡,北京
10,2020年11月,60143元/㎡,55622元/㎡,北京
11,2020年12月,64062元/㎡,55332元/㎡,北京
