,月份,二手房均价,新房均价,城市
0,2019年1月,30554元/㎡,27852元/㎡,杭州
1,2019年2月,31204元/㎡,28104元/㎡,杭州
2,2019年3月,30811元/㎡,28422元/㎡,杭州
3,2019年4月,30270元/㎡,29121元/㎡,杭州
4,2019年5月,30902元/㎡,29203元/㎡,杭州
5,2019年6月,30231元/㎡,28773元/㎡,杭州
6,2019年7月,30662元/㎡,29830元/㎡,杭州
7,2019年8月,30581元/㎡,29883元/㎡,杭州
8,2019年9月,30512元/㎡,30083元/㎡,杭州
9,2019年10月,30703元/㎡,30242元/㎡,杭州
10,2019年11月,29253元/㎡,28950元/㎡,杭州
11,2019年12月,28822元/㎡,28684元/㎡,杭州
