,月份,二手房均价,新房均价,城市
0,2020年1月,35493元/㎡,32173元/㎡,广州
1,2020年2月,34872元/㎡,30809元/㎡,广州
2,2020年3月,35640元/㎡,31568元/㎡,广州
3,2020年4月,32932元/㎡,32615元/㎡,广州
4,2020年5月,32753元/㎡,32567元/㎡,广州
5,2020年6月,34714元/㎡,32699元/㎡,广州
6,2020年7月,37729元/㎡,33813元/㎡,广州
7,2020年8月,37143元/㎡,33389元/㎡,广州
8,2020年9月,37126元/㎡,33940元/㎡,广州
9,2020年10月,37556元/㎡,34015元/㎡,广州
10,2020年11月,38979元/㎡,33794元/㎡,广州
11,2020年12月,38856元/㎡,34140元/㎡,广州
