,月份,二手房均价,新房均价,城市
0,2020年1月,54087元/㎡,55723元/㎡,上海
1,2020年2月,54259元/㎡,54200元/㎡,上海
2,2020年3月,55284元/㎡,54873元/㎡,上海
3,2020年4月,52804元/㎡,56568元/㎡,上海
4,2020年5月,52942元/㎡,56457元/㎡,上海
5,2020年6月,54627元/㎡,56389元/㎡,上海
6,2020年7月,55256元/㎡,56567元/㎡,上海
7,2020年8月,55235元/㎡,56247元/㎡,上海
8,2020年9月,57055元/㎡,57401元/㎡,上海
9,2020年10月,57701元/㎡,56513元/㎡,上海
10,2020年11月,57489元/㎡,55041元/㎡,上海
11,2020年12月,58715元/㎡,55686元/㎡,上海
