,月份,二手房均价,新房均价,城市
0,2019年1月,15823元/㎡,20543元/㎡,海口
1,2019年2月,15532元/㎡,20613元/㎡,海口
2,2019年3月,15543元/㎡,20623元/㎡,海口
3,2019年4月,15451元/㎡,20861元/㎡,海口
4,2019年5月,15470元/㎡,19573元/㎡,海口
5,2019年6月,15472元/㎡,19622元/㎡,海口
6,2019年7月,15312元/㎡,19511元/㎡,海口
7,2019年8月,15362元/㎡,19331元/㎡,海口
8,2019年9月,15151元/㎡,19251元/㎡,海口
9,2019年10月,14972元/㎡,19213元/㎡,海口
10,2019年11月,14920元/㎡,18532元/㎡,海口
11,2019年12月,14707元/㎡,19213元/㎡,海口
