,月份,二手房均价,新房均价,城市
0,2021年1月,60935元/㎡,56066元/㎡,上海
1,2021年2月,60391元/㎡,55861元/㎡,上海
2,2021年3月,64737元/㎡,56963元/㎡,上海
3,2021年4月,67534元/㎡,54315元/㎡,上海
4,2021年5月,69313元/㎡,54443元/㎡,上海
5,2021年5月,69313元/㎡,54443元/㎡,上海
6,2021年6月,69532元/㎡,54140元/㎡,上海
7,2021年7月,69577元/㎡,53843元/㎡,上海
8,2021年8月,67342元/㎡,53339元/㎡,上海
9,2021年9月,63030元/㎡,52477元/㎡,上海
10,2021年10月,65518元/㎡,54173元/㎡,上海
11,2021年11月,65503元/㎡,54362元/㎡,上海
12,2021年12月,68089元/㎡,53624元/㎡,上海
