,月份,二手房均价,新房均价,城市
0,2020年1月,30174元/㎡,28660元/㎡,杭州
1,2020年2月,29757元/㎡,28336元/㎡,杭州
2,2020年3月,28933元/㎡,28325元/㎡,杭州
3,2020年4月,29064元/㎡,29298元/㎡,杭州
4,2020年5月,28957元/㎡,29175元/㎡,杭州
5,2020年6月,31137元/㎡,28923元/㎡,杭州
6,2020年7月,29524元/㎡,28363元/㎡,杭州
7,2020年8月,30437元/㎡,28852元/㎡,杭州
8,2020年9月,31070元/㎡,29297元/㎡,杭州
9,2020年10月,30902元/㎡,29039元/㎡,杭州
10,2020年11月,33211元/㎡,28840元/㎡,杭州
11,2020年12月,33214元/㎡,29713元/㎡,杭州
