,月份,二手房均价,新房均价,城市
0,2019年1月,51963元/㎡,58012元/㎡,上海
1,2019年2月,52654元/㎡,58080元/㎡,上海
2,2019年3月,51122元/㎡,58882元/㎡,上海
3,2019年4月,51421元/㎡,60222元/㎡,上海
4,2019年5月,50913元/㎡,58082元/㎡,上海
5,2019年6月,50623元/㎡,57221元/㎡,上海
6,2019年7月,52303元/㎡,54423元/㎡,上海
7,2019年8月,52313元/㎡,54483元/㎡,上海
8,2019年9月,52212元/㎡,54681元/㎡,上海
9,2019年10月,52303元/㎡,54914元/㎡,上海
10,2019年11月,52762元/㎡,55665元/㎡,上海
11,2019年12月,52986元/㎡,55733元/㎡,上海
