,月份,二手房均价,新房均价,城市
0,2019年1月,63742元/㎡,61443元/㎡,北京
1,2019年2月,65173元/㎡,61740元/㎡,北京
2,2019年3月,64233元/㎡,61483元/㎡,北京
3,2019年4月,63122元/㎡,60361元/㎡,北京
4,2019年5月,62840元/㎡,58653元/㎡,北京
5,2019年6月,62382元/㎡,56904元/㎡,北京
6,2019年7月,63403元/㎡,55943元/㎡,北京
7,2019年8月,63913元/㎡,56211元/㎡,北京
8,2019年9月,64403元/㎡,55854元/㎡,北京
9,2019年10月,63120元/㎡,55160元/㎡,北京
10,2019年11月,62435元/㎡,55970元/㎡,北京
11,2019年12月,62195元/㎡,54972元/㎡,北京
